RK_x,Player Name,Club1,Club2,Club3,POS_x,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER,RK_y,NAME,POS_y,TEAM,SALARY
134,Jordan McRae,WSH,DEN,DET,G,37,21.2,11.5,4,9.9,40.7,1.2,3.4,35.7,2.2,2.9,76.1,3.4,2.5,0.6,0.4,1.2,0,0,14.23,359,Jordan McRae,G,Detroit Pistons,"$1,645,357 "
135,Aron Baynes,PHX,,,C,42,22.3,11.5,4.4,9.1,48,1.4,4,35.1,1.3,1.8,74.7,5.6,1.6,0.2,0.5,1.2,3,0,15.22,196,Aron Baynes,C,Phoenix Suns,"$5,453,280 "
136,Justise Winslow,MIA,MEM,,PF,11,32,11.3,4.5,11.7,38.8,0.5,2.5,22.2,1.6,2.5,66.7,6.6,4,0.6,0.5,2.2,1,0,8.6,95,Justise Winslow,PF,Miami Heat,"$13,000,000 "
137,Derrick White,SA,,,PG,68,24.7,11.3,3.7,8.1,45.8,1.2,3.2,36.6,2.6,3.1,85.3,3.3,3.5,0.6,0.9,1.3,0,0,16.46,334,Derrick White,PG,San Antonio Spurs,"$1,948,080 "
138,Bryn Forbes,SA,,,SG,63,25.1,11.2,3.8,9.2,41.7,2.3,6,38.8,1.2,1.4,83.3,2,1.7,0.5,0,0.9,0,0,11.18,275,Bryn Forbes,SG,San Antonio Spurs,"$2,875,000 "
139,Malik Beasley,MIN,DEN,,SG,55,22,11.2,4.1,9.7,42.5,1.9,5,38.8,1,1.2,81.8,2.7,1.4,0.7,0.1,1,1,0,12.72,279,Malik Beasley,SG,Minnesota Timberwolves,"$2,731,714 "
140,Dion Waiters,LAL,MIA,MEM,G,10,20.7,11.1,4.1,9.9,41.4,1.5,4.7,31.9,1.4,1.7,82.4,2.4,2,0.4,0.6,1.6,0,0,11.53,518,Dion Waiters,G,Los Angeles Lakers,"$375,385 "
141,Jarrett Allen,BKN,,,C,70,26.5,11.1,4.3,6.6,64.9,0,0.1,0,2.4,3.9,63.3,9.6,1.6,0.6,1.3,1.1,30,0,20.69,302,Jarrett Allen,C,Brooklyn Nets,"$2,376,840 "
142,Cody Zeller,CHA,,,C,58,23.1,11.1,4.3,8.3,52.4,0.3,1.3,24,2.1,3.1,68.2,7.1,1.5,0.7,0.4,1.3,10,0,18.84,87,Cody Zeller,C,Charlotte Hornets,"$14,471,910 "
143,Cedi Osman,CLE,,,SF,65,29.4,11,4.1,9.4,43.7,1.9,4.9,38.3,1,1.4,67,3.6,2.4,0.8,0.2,1.4,2,0,10.7,273,Cedi Osman,SF,Cleveland Cavaliers,"$2,907,143 "
144,Rodney Hood,POR,,,SG,21,29.5,11,4.1,8.2,50.6,1.7,3.4,49.3,1,1.3,77.8,3.4,1.5,0.8,0.2,0.9,0,0,12.18,191,Rodney Hood,SG,Portland Trail Blazers,"$5,718,000 "
145,Dejounte Murray,SA,,,PG,66,25.6,10.9,4.5,9.7,46.2,0.6,1.7,36.9,1.4,1.7,79.8,5.8,4.1,1.7,0.3,1.9,6,0,16.27,307,Dejounte Murray,PG,San Antonio Spurs,"$2,321,735 "
146,Ish Smith,WSH,,,PG,68,26.3,10.9,4.5,10.1,44.7,0.9,2.5,36.7,0.9,1.3,72.1,3.2,4.9,0.9,0.4,1.4,1,0,13.96,187,Ish Smith,PG,Washington Wizards,"$6,000,000 "
147,Cameron Payne,PHX,,,PG,8,22.9,10.9,4.1,8.5,48.5,1.9,3.6,51.7,0.8,0.9,85.7,3.9,3,1,0.3,1.4,0,0,15.74,345,Cameron Payne,PG,Phoenix Suns,"$1,737,145 "
148,Jeff Teague,ATL,MIN,,PG,59,24.8,10.9,3.6,8.3,43.6,0.7,2,36.8,2.9,3.3,87.3,2.4,5.2,0.7,0.3,2,3,0,14.66,58,Jeff Teague,PG,Atlanta Hawks,"$19,000,000 "
