index,year,TEAM,lasy_year_playoff,GDP,pop,SALARY,turnover_metrics,median_ast,offensive_index,playoff,prediction
145,16,New Orleans Pelicans,True,71145,1269,73224871.0,0.14521322210820725,3.45,1.3156719062682365,False,0.0414807960655595
146,17,New Orleans Pelicans,False,79157,1271,90189893.0,0.15534798005063302,3.2,1.713775093370681,False,0.015144432899147457
147,18,New Orleans Pelicans,False,82669,1272,109851809.0,0.16102833309761397,3.55,2.705782312925171,True,0.203468261301201
148,19,New Orleans Pelicans,True,83272,1274,97276096.0,0.15679146312444248,3.5,2.537034698987859,False,0.586710912921611
149,20,New Orleans Pelicans,False,76382,1270,103704028.0,0.17758489737570676,2.05,3.0230836781496624,False,0.25933339954358714
150,21,New Orleans Pelicans,False,80736,1262,126398737.0,0.1663031113525471,3.25,2.426516904507868,False,0.3023423247575163
151,14,New York Knicks,True,1507783,19282,90051718.0,0.1730505334687676,2.9,1.5834506869216671,False,0.9153708540848271
152,15,New York Knicks,False,1570333,19322,56354381.0,0.15236438929271348,2.9,0.7146303258145366,False,0.04061599643976996
153,16,New York Knicks,False,1638129,19336,68895850.0,0.14100321141594566,2.4,1.017219523526863,False,0.3329542272482434
154,17,New York Knicks,False,1690245,19325,93815798.0,0.1566330080503103,2.25,1.7859914799253023,False,0.8838894314114505
155,18,New York Knicks,False,1790858,19289,96629698.0,0.1636417689999891,3.0,1.6439312567132127,False,0.8127550211673878
156,19,New York Knicks,False,1872166,19232,59040791.0,0.1709172059651815,2.75,0.7123112317544487,False,0.05386798412307228
157,20,New York Knicks,False,1809323,20096,73305346.0,0.15358016132039504,1.45,0.9759234140489194,False,0.5117134886575094
158,21,New York Knicks,False,1912455,19768,70641985.0,0.146107631417955,3.1,1.4948425691295462,True,0.624611963552881
159,14,Oklahoma City Thunder,True,76575,1337,66951545.0,0.15087126950916993,1.5,2.7539953861455633,True,0.5357716908383785
160,15,Oklahoma City Thunder,True,73307,1358,70911310.0,0.16419633819966112,3.6999999999999997,2.023113550450712,False,0.050125349181974296
161,16,Oklahoma City Thunder,False,72301,1373,87706810.0,0.1736248198552662,2.0,2.5048014549161333,True,0.04981707074756425
162,17,Oklahoma City Thunder,True,76615,1382,81834920.0,0.16039490189673772,1.75,1.693417366946778,True,0.1865569340923216
163,18,Oklahoma City Thunder,True,81863,1394,130962362.0,0.14965608485835633,1.3,1.8509667024704626,True,0.9519552689925787
164,19,Oklahoma City Thunder,True,81388,1410,130821706.0,0.1416277468757866,1.6,2.237807658046279,True,0.9804041646373146
165,20,Oklahoma City Thunder,True,74398,1429,125568196.0,0.1643189463827852,2.0999999999999996,1.2294353173534427,True,0.5593713696201884
166,21,Oklahoma City Thunder,True,78639,1442,57943824.0,0.1898504963066967,2.9,0.847315284075754,False,0.0011278626831577783
167,14,Orlando Magic,True,110831,2325,31668125.0,0.1677648669216922,1.9500000000000002,1.549711478364511,False,0.0039734336636447504
168,15,Orlando Magic,False,119537,2390,35762702.0,0.18767401217517338,2.0,0.9991364807045238,False,4.9977694931695453e-05
169,16,Orlando Magic,False,126185,2457,54786490.0,0.15302208089920272,2.75,1.4036058577342974,False,0.0012880456220485874
170,17,Orlando Magic,False,133601,2520,97801160.0,0.15453052749508336,2.3,1.0793271475256756,False,0.016288892856789076
171,18,Orlando Magic,False,141110,2576,91051820.0,0.1756471526195001,3.15,1.2459720730397434,False,0.0033414988448811915
172,19,Orlando Magic,False,150158,2608,85508807.0,0.14500279392753726,3.35,1.8071249710666413,True,0.024616813983361335
173,20,Orlando Magic,True,144096,2678,118270876.0,0.13721519364882276,3.4000000000000004,1.2712469701050353,True,0.6284409134463557
174,21,Orlando Magic,True,152310,2692,98312728.0,0.13439227864870631,3.5999999999999996,0.7634384169111761,False,0.14249306577064977
175,14,Philadelphia 76ers,True,394728,6050,17714407.0,0.18813356284382776,2.65,1.4792944803322867,False,0.0008916383294008628
176,15,Philadelphia 76ers,False,407824,6060,36200615.0,0.20265637375307524,3.55,0.5750110774172994,False,1.176939677024285e-05
177,16,Philadelphia 76ers,False,414884,6070,26337413.0,0.1932177784717718,2.45,0.5490049578352334,False,1.733468488907008e-05
178,17,Philadelphia 76ers,False,418696,6082,52741524.0,0.192175482988889,2.3,1.4235031512605034,False,0.0006705753805198379
179,18,Philadelphia 76ers,False,435424,6097,107232296.0,0.18060536510625574,3.1,3.1378446115288217,True,0.4636330544140619
180,19,Philadelphia 76ers,True,450742,6105,107725529.0,0.15476647370544405,3.45,2.804442059634282,True,0.9499035176514592
181,20,Philadelphia 76ers,True,439055,6242,120126224.0,0.1479938316394891,2.95,2.3962305250185665,True,0.9730387450797646
182,21,Philadelphia 76ers,True,464081,6229,141530814.0,0.1846199077091001,2.75,2.0191255445896683,True,0.944743230537922
183,14,Phoenix Suns,False,209291,4490,30735737.0,0.17641452182367307,1.75,2.1895928027746807,False,0.0009614663483537909
184,15,Phoenix Suns,False,219957,4580,50864417.0,0.18133994340854895,3.6500000000000004,1.408337314280176,False,0.00022274797693550791
185,16,Phoenix Suns,False,230743,4675,61171200.0,0.19564030816008718,2.5,1.2518696761816022,False,0.000358120907199512
186,17,Phoenix Suns,False,243103,4761,69885151.0,0.1834224133268051,2.15,1.5150064192343602,False,0.002432403224082314
187,18,Phoenix Suns,False,259286,4852,55714030.0,0.18199889244849163,4.1,1.0964017185821708,False,0.00014240069068558963
188,19,Phoenix Suns,False,276914,4954,64909906.0,0.15360234223843727,3.05,0.6825747532773603,False,0.0008779073543783607
189,20,Phoenix Suns,False,281005,4868,92763106.0,0.155259265626822,2.0,2.389130083490438,False,0.22160065595013465
190,21,Phoenix Suns,False,297022,4946,117239705.0,0.13519234016971898,2.1,2.3579127767404637,True,0.7815473301107074
191,14,Portland Trail Blazers,False,127933,2345,56549047.0,0.1584019273768428,2.5,3.303914993227338,True,0.049764482983485854
192,15,Portland Trail Blazers,True,137568,2383,65367301.0,0.17577692219368246,2.95,2.2380495437488745,True,0.05921989179425993
193,16,Portland Trail Blazers,True,145121,2429,44263743.0,0.16676106911350608,2.25,1.862368728194416,True,0.016554015841661048
194,17,Portland Trail Blazers,True,153173,2457,99664007.0,0.1684058106284314,2.55,2.161542950513539,True,0.5173153497444332
195,18,Portland Trail Blazers,True,164120,2475,111021324.0,0.15427890293638052,1.9,1.7739885427855355,True,0.7632929740638439
196,19,Portland Trail Blazers,True,170986,2492,121003916.0,0.14950580410124992,2.4,2.372346021926225,True,0.9504437708256767
197,20,Portland Trail Blazers,True,168380,2516,126324546.0,0.1294661849602242,1.6,2.061992997576084,True,0.983891538335281
198,21,Portland Trail Blazers,True,177978,2512,119927146.0,0.10802965000211057,1.7999999999999998,1.857209922646039,True,0.9847454751997293
199,14,Sacramento Kings,False,113461,2236,51133379.0,0.17460288684424344,2.8,1.525932062966031,False,0.0004382475260267769
200,15,Sacramento Kings,False,120658,2263,69920667.0,0.18460752939769837,3.25,1.4797693474016533,False,0.0007178324351249413
